index,player_name,team_abbreviation,age,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
5,Joel Embiid,PHI,28.0,68,30.6,11.7,4.2,7.9,0.375,0.616,0.236,2021-22
25,LeBron James,LAL,37.0,56,30.3,8.2,6.2,-2.5,0.317,0.619,0.297,2021-22
35,Giannis Antetokounmpo,MIL,27.0,67,29.9,11.6,5.8,8.0,0.34,0.633,0.304,2021-22
50,Kevin Durant,BKN,33.0,55,29.9,7.4,6.4,6.5,0.31,0.634,0.2739999999999999,2021-22
55,Luka Doncic,DAL,23.0,65,28.4,9.1,8.7,3.5,0.368,0.5710000000000001,0.4579999999999999,2021-22
60,Trae Young,ATL,23.0,76,28.4,3.7,9.7,2.3,0.3329999999999999,0.603,0.442,2021-22
74,DeMar DeRozan,CHI,32.0,76,27.9,5.2,4.9,1.1,0.308,0.59,0.228,2021-22
86,Kyrie Irving,BKN,30.0,29,27.4,4.4,5.8,5.2,0.283,0.5920000000000001,0.235,2021-22
90,Ja Morant,MEM,22.0,57,27.4,5.7,6.7,4.1,0.33,0.575,0.33,2021-22
98,Nikola Jokic,DEN,27.0,74,27.1,13.8,7.9,8.4,0.309,0.6609999999999999,0.3879999999999999,2021-22
104,Jayson Tatum,BOS,24.0,76,26.9,8.0,4.4,12.1,0.313,0.578,0.204,2021-22
112,Devin Booker,PHX,25.0,68,26.8,5.0,4.8,9.5,0.313,0.5760000000000001,0.212,2021-22
118,Donovan Mitchell,UTA,25.0,67,25.9,4.2,5.3,5.9,0.322,0.5720000000000001,0.267,2021-22
132,Stephen Curry,GSW,34.0,64,25.5,5.2,6.3,10.7,0.293,0.601,0.286,2021-22
140,Karl-Anthony Towns,MIN,26.0,74,24.6,9.8,3.6,5.3,0.272,0.64,0.177,2021-22
145,Shai Gilgeous-Alexander,OKC,23.0,56,24.5,5.0,5.9,-6.4,0.298,0.557,0.293,2021-22
154,Zach LaVine,CHI,27.0,67,24.4,4.6,4.5,-0.9,0.284,0.605,0.207,2021-22
167,Paul George,LAC,32.0,31,24.3,6.9,5.7,4.2,0.3289999999999999,0.5379999999999999,0.286,2021-22
178,Damian Lillard,POR,31.0,29,24.0,4.1,7.3,-1.8,0.288,0.55,0.321,2021-22
185,Jaylen Brown,BOS,25.0,66,23.6,6.1,3.5,9.8,0.298,0.574,0.173,2021-22
196,Bradley Beal,WAS,29.0,40,23.2,4.7,6.6,-3.5,0.297,0.539,0.309,2021-22
207,Anthony Davis,LAL,29.0,40,23.2,9.9,3.1,-3.0,0.263,0.578,0.147,2021-22
213,De'Aaron Fox,SAC,24.0,59,23.2,3.9,5.6,-4.4,0.284,0.5489999999999999,0.254,2021-22
220,Pascal Siakam,TOR,28.0,68,22.8,8.5,5.3,4.8,0.257,0.565,0.2239999999999999,2021-22
227,Brandon Ingram,NOP,24.0,55,22.7,5.8,5.6,3.3,0.291,0.5539999999999999,0.268,2021-22
237,CJ McCollum,NOP,30.0,62,22.1,4.3,5.1,-1.9,0.2689999999999999,0.5529999999999999,0.238,2021-22
251,James Harden,PHI,32.0,65,22.0,7.7,10.3,3.5,0.266,0.583,0.401,2021-22
255,Darius Garland,CLE,22.0,68,21.7,3.3,8.6,6.6,0.272,0.5760000000000001,0.3779999999999999,2021-22
267,Jimmy Butler,MIA,32.0,57,21.4,5.9,5.5,6.1,0.26,0.5920000000000001,0.264,2021-22
270,Anthony Edwards,MIN,20.0,72,21.3,4.8,3.8,4.0,0.262,0.56,0.173,2021-22
276,Dejounte Murray,SAS,25.0,68,21.1,8.3,9.2,1.9,0.268,0.5329999999999999,0.3879999999999999,2021-22
280,Tyler Herro,MIA,22.0,66,20.7,5.0,4.0,5.3,0.278,0.561,0.205,2021-22
290,Klay Thompson,GSW,32.0,32,20.4,3.9,2.8,3.3,0.284,0.547,0.153,2021-22
297,Fred VanVleet,TOR,28.0,65,20.3,4.4,6.7,3.7,0.233,0.552,0.266,2021-22
304,Kristaps Porzingis,WAS,26.0,51,20.2,8.1,2.3,0.4,0.286,0.5770000000000001,0.133,2021-22
309,Miles Bridges,CHA,24.0,80,20.2,7.0,3.8,2.1,0.2239999999999999,0.593,0.153,2021-22
311,LaMelo Ball,CHA,20.0,75,20.1,6.7,7.6,1.5,0.271,0.5539999999999999,0.341,2021-22
320,Julius Randle,NYK,27.0,72,20.1,9.9,5.1,-3.6,0.2789999999999999,0.509,0.251,2021-22
331,Khris Middleton,MIL,30.0,66,20.1,5.4,5.4,5.4,0.255,0.5770000000000001,0.246,2021-22
335,RJ Barrett,NYK,22.0,70,20.0,5.8,3.0,-3.3,0.268,0.511,0.146,2021-22
343,Terry Rozier,CHA,28.0,73,19.3,4.3,4.5,1.4,0.2269999999999999,0.5660000000000001,0.1969999999999999,2021-22
352,Jerami Grant,DET,28.0,47,19.2,4.1,2.4,-7.8,0.253,0.556,0.13,2021-22
359,Malcolm Brogdon,IND,29.0,36,19.1,5.1,5.9,-0.4,0.241,0.557,0.271,2021-22
365,Bam Adebayo,MIA,24.0,56,19.1,10.1,3.4,8.1,0.248,0.608,0.172,2021-22
373,Norman Powell,LAC,29.0,45,19.0,3.2,2.1,-8.1,0.231,0.603,0.106,2021-22
380,Domantas Sabonis,SAC,26.0,62,18.9,12.1,5.2,-0.6,0.221,0.637,0.239,2021-22
384,Jordan Poole,GSW,23.0,76,18.5,3.4,4.0,6.6,0.252,0.598,0.207,2021-22
399,Russell Westbrook,LAL,33.0,78,18.5,7.4,7.1,-4.0,0.264,0.512,0.311,2021-22
405,Dillon Brooks,MEM,26.0,32,18.4,3.2,2.8,11.0,0.283,0.515,0.147,2021-22
410,Gary Trent Jr.,TOR,23.0,70,18.3,2.7,2.0,3.3,0.212,0.546,0.085,2021-22