index,player_name,team_abbreviation,age,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
0,Joel Embiid,PHI,23.0,31,20.2,7.8,2.1,3.2,0.363,0.584,0.174,2016-17
1,Joel Embiid,PHI,24.0,63,22.9,11.0,3.2,11.7,0.33,0.573,0.182,2017-18
2,Joel Embiid,PHI,25.0,64,27.5,13.6,3.7,7.6,0.327,0.593,0.185,2018-19
3,Joel Embiid,PHI,26.0,51,23.0,11.6,3.0,5.2,0.315,0.59,0.178,2019-20
4,Joel Embiid,PHI,27.0,51,28.5,10.6,2.8,12.0,0.352,0.636,0.156,2020-21
5,Joel Embiid,PHI,28.0,68,30.6,11.7,4.2,7.9,0.375,0.616,0.236,2021-22
6,Joel Embiid,PHI,29.0,66,33.1,10.2,4.2,8.8,0.37,0.655,0.233,2022-23
7,LeBron James,CLE,19.0,79,20.9,5.5,5.9,-2.6,0.28,0.488,0.268,2003-04
8,LeBron James,CLE,20.0,80,27.2,7.4,7.2,1.9,0.297,0.5539999999999999,0.324,2004-05
9,LeBron James,CLE,21.0,79,31.4,7.0,6.6,4.2,0.336,0.568,0.315,2005-06
10,LeBron James,CLE,22.0,78,27.3,6.7,6.0,5.4,0.309,0.552,0.281,2006-07
11,LeBron James,CLE,23.0,75,30.0,7.9,7.2,2.4,0.3329999999999999,0.568,0.352,2007-08
12,LeBron James,CLE,24.0,81,28.4,7.6,7.2,14.7,0.3339999999999999,0.591,0.365,2008-09
13,LeBron James,CLE,25.0,76,29.7,7.3,8.6,10.8,0.3329999999999999,0.604,0.3979999999999999,2009-10
14,LeBron James,MIA,26.0,79,26.7,7.5,7.0,10.5,0.312,0.594,0.3429999999999999,2010-11
15,LeBron James,MIA,27.0,62,27.1,7.9,6.2,10.7,0.317,0.605,0.318,2011-12
16,LeBron James,MIA,28.0,76,26.8,8.0,7.3,14.1,0.298,0.64,0.344,2012-13
17,LeBron James,MIA,29.0,77,27.1,6.9,6.3,7.9,0.309,0.649,0.311,2013-14
18,LeBron James,CLE,30.0,69,25.3,6.0,7.4,9.8,0.324,0.5770000000000001,0.366,2014-15
19,LeBron James,CLE,31.0,76,25.3,7.4,6.8,11.0,0.311,0.588,0.3389999999999999,2015-16
20,LeBron James,CLE,32.0,74,26.4,8.6,8.7,7.7,0.297,0.619,0.3879999999999999,2016-17
21,LeBron James,CLE,33.0,82,27.5,8.6,9.1,1.6,0.31,0.621,0.432,2017-18
22,LeBron James,LAL,34.0,55,27.4,8.5,8.3,2.0,0.311,0.588,0.376,2018-19
23,LeBron James,LAL,35.0,67,25.3,7.8,10.2,8.5,0.308,0.5770000000000001,0.477,2019-20
24,LeBron James,LAL,36.0,45,25.0,7.7,7.8,9.2,0.31,0.602,0.3939999999999999,2020-21
25,LeBron James,LAL,37.0,56,30.3,8.2,6.2,-2.5,0.317,0.619,0.297,2021-22
26,LeBron James,LAL,38.0,55,28.9,8.3,6.8,4.6,0.322,0.583,0.308,2022-23
27,Giannis Antetokounmpo,MIL,19.0,77,6.8,4.4,1.9,-4.4,0.15,0.518,0.12,2013-14
28,Giannis Antetokounmpo,MIL,20.0,81,12.7,6.7,2.6,1.1,0.196,0.552,0.133,2014-15
29,Giannis Antetokounmpo,MIL,21.0,80,16.9,7.7,4.3,-2.6,0.223,0.5660000000000001,0.195,2015-16
30,Giannis Antetokounmpo,MIL,22.0,80,22.9,8.8,5.4,1.5,0.283,0.599,0.2689999999999999,2016-17
31,Giannis Antetokounmpo,MIL,23.0,75,26.9,10.0,4.8,2.8,0.307,0.598,0.237,2017-18
32,Giannis Antetokounmpo,MIL,24.0,72,27.7,12.5,5.9,12.5,0.314,0.644,0.294,2018-19
33,Giannis Antetokounmpo,MIL,25.0,63,29.5,13.6,5.6,15.4,0.363,0.613,0.3279999999999999,2019-20
34,Giannis Antetokounmpo,MIL,26.0,61,28.1,11.0,5.9,9.8,0.32,0.633,0.282,2020-21
35,Giannis Antetokounmpo,MIL,27.0,67,29.9,11.6,5.8,8.0,0.34,0.633,0.304,2021-22
36,Giannis Antetokounmpo,MIL,28.0,63,31.1,11.8,5.7,7.2,0.373,0.605,0.314,2022-23
37,Kevin Durant,SEA,19.0,80,20.3,4.4,2.4,-11.7,0.278,0.519,0.12,2007-08
38,Kevin Durant,OKC,20.0,74,25.3,6.5,2.8,-9.5,0.282,0.5770000000000001,0.135,2008-09
39,Kevin Durant,OKC,21.0,82,30.1,7.6,2.8,7.0,0.317,0.607,0.13,2009-10
40,Kevin Durant,OKC,22.0,78,27.7,6.8,2.7,4.7,0.302,0.589,0.127,2010-11
41,Kevin Durant,OKC,23.0,66,28.0,8.0,3.5,7.7,0.308,0.61,0.17,2011-12
42,Kevin Durant,OKC,24.0,81,28.1,7.9,4.6,12.7,0.298,0.647,0.213,2012-13
43,Kevin Durant,OKC,25.0,81,32.0,7.4,5.5,8.0,0.327,0.635,0.259,2013-14
44,Kevin Durant,OKC,26.0,27,25.4,6.6,4.1,7.2,0.285,0.633,0.213,2014-15
45,Kevin Durant,OKC,27.0,72,28.2,8.2,5.0,11.2,0.305,0.634,0.23,2015-16
46,Kevin Durant,GSW,28.0,62,25.1,8.3,4.8,16.0,0.276,0.6509999999999999,0.218,2016-17
47,Kevin Durant,GSW,29.0,68,26.4,6.8,5.4,7.0,0.293,0.64,0.243,2017-18
48,Kevin Durant,GSW,30.0,78,26.0,6.4,5.9,11.4,0.283,0.631,0.251,2018-19
49,Kevin Durant,BKN,32.0,35,26.9,7.1,5.6,10.7,0.303,0.6659999999999999,0.252,2020-21
50,Kevin Durant,BKN,33.0,55,29.9,7.4,6.4,6.5,0.31,0.634,0.2739999999999999,2021-22
51,Kevin Durant,PHX,34.0,47,29.1,6.7,5.0,6.8,0.305,0.677,0.228,2022-23
52,Luka Doncic,DAL,20.0,72,21.2,7.8,6.0,-3.1,0.296,0.545,0.317,2018-19
53,Luka Doncic,DAL,21.0,61,28.8,9.4,8.8,5.3,0.355,0.585,0.4539999999999999,2019-20
54,Luka Doncic,DAL,22.0,66,27.7,8.0,8.6,3.9,0.35,0.5870000000000001,0.425,2020-21
55,Luka Doncic,DAL,23.0,65,28.4,9.1,8.7,3.5,0.368,0.5710000000000001,0.4579999999999999,2021-22
56,Luka Doncic,DAL,24.0,66,32.4,8.6,8.0,2.1,0.368,0.609,0.408,2022-23
57,Trae Young,ATL,20.0,81,19.1,3.7,8.1,-6.3,0.2769999999999999,0.539,0.39,2018-19
58,Trae Young,ATL,21.0,60,29.6,4.3,9.3,-4.9,0.3389999999999999,0.595,0.423,2019-20
59,Trae Young,ATL,22.0,63,25.3,3.9,9.4,5.2,0.32,0.589,0.426,2020-21
60,Trae Young,ATL,23.0,76,28.4,3.7,9.7,2.3,0.3329999999999999,0.603,0.442,2021-22
61,Trae Young,ATL,24.0,73,26.2,3.0,10.2,1.3,0.313,0.573,0.414,2022-23
62,DeMar DeRozan,TOR,20.0,77,8.6,2.9,0.7,-5.5,0.182,0.5539999999999999,0.048,2009-10
63,DeMar DeRozan,TOR,21.0,82,17.2,3.8,1.8,-7.7,0.2319999999999999,0.53,0.085,2010-11
64,DeMar DeRozan,TOR,22.0,63,16.7,3.3,2.0,-1.8,0.253,0.503,0.105,2011-12
65,DeMar DeRozan,TOR,23.0,82,18.1,3.9,2.5,-2.4,0.241,0.523,0.12,2012-13
66,DeMar DeRozan,TOR,24.0,79,22.7,4.3,4.0,3.4,0.282,0.532,0.1889999999999999,2013-14
67,DeMar DeRozan,TOR,25.0,60,20.1,4.6,3.5,2.6,0.286,0.51,0.174,2014-15
68,DeMar DeRozan,TOR,26.0,78,23.5,4.5,4.0,3.0,0.297,0.55,0.208,2015-16
69,DeMar DeRozan,TOR,27.0,74,27.3,5.2,3.9,3.3,0.342,0.552,0.204,2016-17
70,DeMar DeRozan,TOR,28.0,80,23.0,3.9,5.2,7.7,0.286,0.555,0.245,2017-18
71,DeMar DeRozan,SAS,29.0,77,21.2,6.0,6.2,0.0,0.2769999999999999,0.542,0.2769999999999999,2018-19
72,DeMar DeRozan,SAS,30.0,68,22.1,5.5,5.6,-1.8,0.262,0.603,0.261,2019-20
73,DeMar DeRozan,SAS,31.0,61,21.6,4.2,6.9,-2.5,0.255,0.591,0.309,2020-21
74,DeMar DeRozan,CHI,32.0,76,27.9,5.2,4.9,1.1,0.308,0.59,0.228,2021-22
75,DeMar DeRozan,CHI,33.0,74,24.5,4.6,5.1,1.5,0.272,0.5920000000000001,0.222,2022-23
76,Kyrie Irving,CLE,20.0,51,18.5,3.7,5.4,-5.6,0.281,0.5660000000000001,0.324,2011-12
77,Kyrie Irving,CLE,21.0,59,22.5,3.7,5.9,-5.1,0.298,0.5529999999999999,0.315,2012-13
78,Kyrie Irving,CLE,22.0,71,20.8,3.6,6.1,-5.1,0.28,0.5329999999999999,0.311,2013-14
79,Kyrie Irving,CLE,23.0,75,21.7,3.2,5.2,6.5,0.26,0.583,0.236,2014-15
80,Kyrie Irving,CLE,24.0,53,19.6,3.0,4.7,5.7,0.293,0.54,0.253,2015-16
81,Kyrie Irving,CLE,25.0,72,25.2,3.2,5.8,5.1,0.302,0.58,0.278,2016-17
82,Kyrie Irving,BOS,26.0,60,24.4,3.8,5.1,5.6,0.298,0.61,0.282,2017-18
83,Kyrie Irving,BOS,27.0,67,23.8,5.0,6.9,6.2,0.286,0.5920000000000001,0.33,2018-19
84,Kyrie Irving,BKN,28.0,20,27.4,5.2,6.4,-0.4,0.318,0.595,0.331,2019-20
85,Kyrie Irving,BKN,29.0,54,26.9,4.8,6.0,5.6,0.297,0.614,0.2689999999999999,2020-21
86,Kyrie Irving,BKN,30.0,29,27.4,4.4,5.8,5.2,0.283,0.5920000000000001,0.235,2021-22
87,Kyrie Irving,DAL,31.0,60,27.1,5.1,5.5,4.7,0.286,0.613,0.233,2022-23
88,Ja Morant,MEM,20.0,67,17.8,3.9,7.3,-0.6,0.256,0.556,0.354,2019-20
89,Ja Morant,MEM,21.0,63,19.1,4.0,7.4,2.6,0.267,0.537,0.321,2020-21
90,Ja Morant,MEM,22.0,57,27.4,5.7,6.7,4.1,0.33,0.575,0.33,2021-22
91,Ja Morant,MEM,23.0,61,26.2,5.9,8.1,7.3,0.3379999999999999,0.557,0.412,2022-23
92,Nikola Jokic,DEN,21.0,80,10.0,7.0,2.4,1.2,0.198,0.5820000000000001,0.176,2015-16
93,Nikola Jokic,DEN,22.0,73,16.7,9.8,4.9,5.1,0.2339999999999999,0.64,0.266,2016-17
94,Nikola Jokic,DEN,23.0,75,18.5,10.7,6.1,6.2,0.238,0.603,0.286,2017-18
95,Nikola Jokic,DEN,24.0,80,20.1,10.8,7.3,5.8,0.271,0.589,0.361,2018-19
96,Nikola Jokic,DEN,25.0,73,19.9,9.7,7.0,4.5,0.266,0.605,0.35,2019-20
97,Nikola Jokic,DEN,26.0,72,26.4,10.8,8.3,7.7,0.293,0.647,0.377,2020-21
98,Nikola Jokic,DEN,27.0,74,27.1,13.8,7.9,8.4,0.309,0.6609999999999999,0.3879999999999999,2021-22
99,Nikola Jokic,DEN,28.0,69,24.5,11.8,9.8,12.5,0.263,0.701,0.412,2022-23
100,Jayson Tatum,BOS,20.0,80,13.9,5.0,1.6,6.9,0.192,0.586,0.081,2017-18
101,Jayson Tatum,BOS,21.0,79,15.7,6.0,2.1,6.8,0.218,0.547,0.098,2018-19
102,Jayson Tatum,BOS,22.0,66,23.4,7.0,3.0,10.6,0.28,0.5670000000000001,0.143,2019-20
103,Jayson Tatum,BOS,23.0,64,26.4,7.4,4.3,3.0,0.298,0.5760000000000001,0.196,2020-21
104,Jayson Tatum,BOS,24.0,76,26.9,8.0,4.4,12.1,0.313,0.578,0.204,2021-22
105,Jayson Tatum,BOS,25.0,74,30.1,8.8,4.6,8.5,0.319,0.607,0.205,2022-23
106,Devin Booker,PHX,19.0,76,13.8,2.5,2.6,-9.6,0.231,0.535,0.162,2015-16
107,Devin Booker,PHX,20.0,78,22.1,3.2,3.4,-4.4,0.284,0.531,0.16,2016-17
108,Devin Booker,PHX,21.0,54,24.9,4.5,4.7,-9.3,0.301,0.561,0.233,2017-18
109,Devin Booker,PHX,22.0,64,26.6,4.1,6.8,-6.9,0.32,0.584,0.327,2018-19
110,Devin Booker,PHX,23.0,70,26.6,4.2,6.5,2.7,0.294,0.618,0.288,2019-20
111,Devin Booker,PHX,24.0,67,25.6,4.2,4.3,7.2,0.319,0.5870000000000001,0.2,2020-21
112,Devin Booker,PHX,25.0,68,26.8,5.0,4.8,9.5,0.313,0.5760000000000001,0.212,2021-22
113,Devin Booker,PHX,26.0,53,27.8,4.5,5.5,6.2,0.311,0.601,0.251,2022-23
114,Donovan Mitchell,UTA,21.0,79,20.5,3.7,3.7,6.8,0.283,0.541,0.1889999999999999,2017-18
115,Donovan Mitchell,UTA,22.0,77,23.8,4.1,4.2,6.8,0.309,0.537,0.209,2018-19
116,Donovan Mitchell,UTA,23.0,69,24.0,4.4,4.3,2.6,0.303,0.5579999999999999,0.214,2019-20
117,Donovan Mitchell,UTA,24.0,53,26.4,4.4,5.2,7.9,0.327,0.569,0.266,2020-21
118,Donovan Mitchell,UTA,25.0,67,25.9,4.2,5.3,5.9,0.322,0.5720000000000001,0.267,2021-22
119,Donovan Mitchell,CLE,26.0,68,28.3,4.3,4.4,5.9,0.31,0.614,0.205,2022-23
120,Stephen Curry,GSW,22.0,80,17.5,4.5,5.9,-3.1,0.218,0.568,0.241,2009-10
121,Stephen Curry,GSW,23.0,74,18.6,3.9,5.8,-0.6,0.242,0.595,0.268,2010-11
122,Stephen Curry,GSW,24.0,26,14.7,3.4,5.3,5.4,0.235,0.605,0.295,2011-12
123,Stephen Curry,GSW,25.0,78,22.9,4.0,6.9,2.4,0.261,0.589,0.298,2012-13
124,Stephen Curry,GSW,26.0,78,24.0,4.3,8.5,9.4,0.281,0.61,0.372,2013-14
125,Stephen Curry,GSW,27.0,80,23.8,4.3,7.7,17.0,0.283,0.638,0.358,2014-15
126,Stephen Curry,GSW,28.0,79,30.1,5.4,6.7,18.3,0.32,0.669,0.315,2015-16
127,Stephen Curry,GSW,29.0,79,25.3,4.5,6.6,17.2,0.292,0.624,0.287,2016-17
128,Stephen Curry,GSW,30.0,51,26.4,5.1,6.1,13.0,0.29,0.675,0.272,2017-18
129,Stephen Curry,GSW,31.0,69,27.3,5.3,5.2,13.7,0.292,0.6409999999999999,0.225,2018-19
130,Stephen Curry,GSW,32.0,5,20.8,5.2,6.6,-15.3,0.286,0.557,0.355,2019-20
131,Stephen Curry,GSW,33.0,63,32.0,5.5,5.8,4.6,0.331,0.655,0.283,2020-21
132,Stephen Curry,GSW,34.0,64,25.5,5.2,6.3,10.7,0.293,0.601,0.286,2021-22
133,Stephen Curry,GSW,35.0,56,29.4,6.1,6.3,5.8,0.297,0.6559999999999999,0.2739999999999999,2022-23
134,Karl-Anthony Towns,MIN,20.0,82,18.3,10.5,2.0,-2.1,0.247,0.59,0.108,2015-16
135,Karl-Anthony Towns,MIN,21.0,82,25.1,12.3,2.7,-0.9,0.2739999999999999,0.618,0.127,2016-17
136,Karl-Anthony Towns,MIN,22.0,82,21.3,12.3,2.4,6.1,0.225,0.6459999999999999,0.105,2017-18
137,Karl-Anthony Towns,MIN,23.0,77,24.4,12.4,3.4,0.9,0.28,0.622,0.1689999999999999,2018-19
138,Karl-Anthony Towns,MIN,24.0,35,26.5,10.8,4.4,-1.5,0.278,0.642,0.21,2019-20
139,Karl-Anthony Towns,MIN,25.0,50,24.8,10.6,4.5,-0.1,0.286,0.612,0.216,2020-21
140,Karl-Anthony Towns,MIN,26.0,74,24.6,9.8,3.6,5.3,0.272,0.64,0.177,2021-22
141,Karl-Anthony Towns,MIN,27.0,29,20.8,8.1,4.8,1.8,0.25,0.618,0.225,2022-23
142,Shai Gilgeous-Alexander,LAC,20.0,82,10.8,2.8,3.3,-2.0,0.182,0.5539999999999999,0.179,2018-19
143,Shai Gilgeous-Alexander,OKC,21.0,70,19.0,5.9,3.3,3.5,0.235,0.568,0.148,2019-20
144,Shai Gilgeous-Alexander,OKC,22.0,35,23.7,4.7,5.9,-7.7,0.283,0.623,0.311,2020-21
145,Shai Gilgeous-Alexander,OKC,23.0,56,24.5,5.0,5.9,-6.4,0.298,0.557,0.293,2021-22
146,Shai Gilgeous-Alexander,OKC,24.0,68,31.4,4.8,5.5,2.7,0.318,0.626,0.249,2022-23
147,Zach LaVine,MIN,20.0,77,10.1,2.8,3.6,-14.5,0.2239999999999999,0.515,0.25,2014-15
148,Zach LaVine,MIN,21.0,82,14.0,2.8,3.1,-5.5,0.233,0.5479999999999999,0.187,2015-16
149,Zach LaVine,MIN,22.0,47,18.9,3.4,3.0,-3.6,0.218,0.5760000000000001,0.128,2016-17
150,Zach LaVine,CHI,23.0,24,16.7,3.9,3.0,-12.1,0.29,0.499,0.187,2017-18
151,Zach LaVine,CHI,24.0,63,23.7,4.7,4.5,-6.5,0.298,0.574,0.2239999999999999,2018-19
152,Zach LaVine,CHI,25.0,60,25.5,4.8,4.2,-4.4,0.312,0.568,0.218,2019-20
153,Zach LaVine,CHI,26.0,58,27.4,5.0,4.9,-0.8,0.302,0.634,0.225,2020-21
154,Zach LaVine,CHI,27.0,67,24.4,4.6,4.5,-0.9,0.284,0.605,0.207,2021-22
155,Zach LaVine,CHI,28.0,77,24.8,4.5,4.2,0.3,0.278,0.607,0.187,2022-23
156,Paul George,IND,21.0,61,7.8,3.7,1.1,-0.1,0.175,0.542,0.0819999999999999,2010-11
157,Paul George,IND,22.0,66,12.1,5.6,2.4,6.1,0.193,0.555,0.133,2011-12
158,Paul George,IND,23.0,79,17.4,7.6,4.1,7.2,0.235,0.531,0.191,2012-13
159,Paul George,IND,24.0,80,21.7,6.8,3.5,6.4,0.282,0.555,0.177,2013-14
160,Paul George,IND,25.0,6,8.8,3.7,1.0,7.0,0.327,0.492,0.122,2014-15
161,Paul George,IND,26.0,81,23.1,7.0,4.1,3.3,0.301,0.557,0.203,2015-16
162,Paul George,IND,27.0,75,23.7,6.6,3.3,2.9,0.29,0.5870000000000001,0.157,2016-17
163,Paul George,OKC,28.0,79,21.9,5.7,3.3,3.7,0.248,0.57,0.143,2017-18
164,Paul George,OKC,29.0,77,28.0,8.2,4.1,8.2,0.285,0.583,0.173,2018-19
165,Paul George,LAC,30.0,48,21.5,5.7,3.9,8.7,0.292,0.589,0.205,2019-20
166,Paul George,LAC,31.0,54,23.3,6.6,5.2,11.3,0.296,0.598,0.239,2020-21
167,Paul George,LAC,32.0,31,24.3,6.9,5.7,4.2,0.3289999999999999,0.5379999999999999,0.286,2021-22
168,Paul George,LAC,33.0,56,23.8,6.1,5.1,4.0,0.294,0.588,0.237,2022-23
169,Damian Lillard,POR,22.0,82,19.0,3.1,6.5,-2.1,0.241,0.546,0.28,2012-13
170,Damian Lillard,POR,23.0,82,20.7,3.5,5.6,5.4,0.25,0.568,0.249,2013-14
171,Damian Lillard,POR,24.0,82,21.0,4.6,6.2,4.5,0.267,0.56,0.285,2014-15
172,Damian Lillard,POR,25.0,75,25.1,4.0,6.8,0.9,0.31,0.56,0.33,2015-16
173,Damian Lillard,POR,26.0,75,27.0,4.9,5.9,1.2,0.309,0.586,0.2769999999999999,2016-17
174,Damian Lillard,POR,27.0,73,26.9,4.5,6.6,6.1,0.295,0.594,0.301,2017-18
175,Damian Lillard,POR,28.0,80,25.8,4.6,6.9,8.2,0.281,0.588,0.299,2018-19
176,Damian Lillard,POR,29.0,66,30.0,4.3,8.0,1.4,0.294,0.627,0.335,2019-20
177,Damian Lillard,POR,30.0,67,28.8,4.2,7.5,4.0,0.306,0.623,0.3339999999999999,2020-21
178,Damian Lillard,POR,31.0,29,24.0,4.1,7.3,-1.8,0.288,0.55,0.321,2021-22
179,Damian Lillard,POR,32.0,58,32.2,4.8,7.3,2.1,0.331,0.645,0.3379999999999999,2022-23
180,Jaylen Brown,BOS,20.0,78,6.6,2.8,0.8,-2.2,0.183,0.539,0.077,2016-17
181,Jaylen Brown,BOS,21.0,70,14.5,4.9,1.6,7.7,0.208,0.562,0.081,2017-18
182,Jaylen Brown,BOS,22.0,74,13.0,4.2,1.4,2.4,0.215,0.547,0.079,2018-19
183,Jaylen Brown,BOS,23.0,57,20.3,6.4,2.1,6.9,0.245,0.583,0.095,2019-20
184,Jaylen Brown,BOS,24.0,58,24.7,6.0,3.4,1.8,0.29,0.586,0.162,2020-21
185,Jaylen Brown,BOS,25.0,66,23.6,6.1,3.5,9.8,0.298,0.574,0.173,2021-22
186,Jaylen Brown,BOS,26.0,67,26.6,6.9,3.5,5.4,0.307,0.581,0.163,2022-23
187,Bradley Beal,WAS,20.0,56,13.9,3.8,2.4,-3.1,0.22,0.515,0.136,2012-13
188,Bradley Beal,WAS,21.0,73,17.1,3.7,3.3,2.0,0.244,0.507,0.155,2013-14
189,Bradley Beal,WAS,22.0,63,15.3,3.8,3.1,5.8,0.226,0.521,0.144,2014-15
190,Bradley Beal,WAS,23.0,55,17.4,3.4,2.9,-1.6,0.25,0.547,0.153,2015-16
191,Bradley Beal,WAS,24.0,77,23.1,3.1,3.5,5.6,0.263,0.604,0.154,2016-17
192,Bradley Beal,WAS,25.0,82,22.6,4.4,4.5,2.4,0.268,0.564,0.206,2017-18
193,Bradley Beal,WAS,26.0,82,25.6,5.0,5.5,-1.8,0.2769999999999999,0.581,0.233,2018-19
194,Bradley Beal,WAS,27.0,57,30.5,4.2,6.1,-4.5,0.3379999999999999,0.579,0.285,2019-20
195,Bradley Beal,WAS,28.0,60,31.3,4.7,4.4,-0.4,0.331,0.593,0.2019999999999999,2020-21
196,Bradley Beal,WAS,29.0,40,23.2,4.7,6.6,-3.5,0.297,0.539,0.309,2021-22
197,Bradley Beal,WAS,30.0,50,23.2,3.9,5.4,0.7,0.288,0.593,0.26,2022-23
198,Anthony Davis,NOH,20.0,64,13.5,8.2,1.0,-5.5,0.215,0.5589999999999999,0.06,2012-13
199,Anthony Davis,NOP,21.0,67,20.8,10.0,1.6,-1.7,0.252,0.5820000000000001,0.078,2013-14
200,Anthony Davis,NOP,22.0,68,24.4,10.2,2.2,5.1,0.276,0.591,0.109,2014-15
201,Anthony Davis,NOP,23.0,61,24.3,10.3,1.9,-4.7,0.296,0.5589999999999999,0.1,2015-16
202,Anthony Davis,NOP,24.0,75,28.0,11.8,2.1,1.7,0.326,0.58,0.11,2016-17
203,Anthony Davis,NOP,25.0,75,28.1,11.1,2.3,5.0,0.291,0.612,0.104,2017-18
204,Anthony Davis,NOP,26.0,56,25.9,12.0,3.9,3.4,0.288,0.597,0.186,2018-19
205,Anthony Davis,LAL,27.0,62,26.1,9.3,3.2,5.0,0.284,0.61,0.153,2019-20
206,Anthony Davis,LAL,28.0,36,21.8,7.9,3.1,5.2,0.287,0.556,0.154,2020-21
207,Anthony Davis,LAL,29.0,40,23.2,9.9,3.1,-3.0,0.263,0.578,0.147,2021-22
